mode,leaf_code,operator,value_cm,value2_cm,unit,source_fragment,leaf_text
air,B2.3-8,gte,40.0,,cm,ไม่น้อยกว่า 400 มิลลิเมตร,มีความลึกสุทธิพื้นที่ว่างของเคาน์เตอร์ไม่น้อยกว่า 400 มิลลิเมตร
air,B2.4-1,gte,70.0,,cm,ไม่น้อยกว่า 700 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และ มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whe
air,B2.4-1,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และ มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whe
air,B2.4-1,lte,75.0,,cm,ไม่เกิน 750 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และ มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whe
air,B2.4-2,gte,40.0,,cm,ไม่น้อยกว่า 400 มิลลิเมตร,มีความลึกสุทธิพื้นที่ว่างของเคาน์เตอร์ไม่น้อยกว่า 400 มิลลิเมตร
air,B2.4-3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","มีพื้นที่ขนาดกว้างไม่น้อยกว่า 1,500 มิลลิเมตร และยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
air,B2.4-3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","มีพื้นที่ขนาดกว้างไม่น้อยกว่า 1,500 มิลลิเมตร และยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
air,B2.7-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
air,B2.7-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
air,B2.7-5,gte,15.0,,cm,ไม่น้อยกว่า 150 มิลลิเมตร,ภาพสัญลักษณ์ควรมีความสูงขนาดไม่น้อยกว่า 150 มิลลิเมตร
air,B2.7-7,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,"ติดตั้งสูงจากพื้นไม่น้อยกว่า 900 มิลลิเมตร วัดจากตัวอักษรในป้าย แต่ไม่เกิน 1,800 มิลลิเมตร กรณียึดติดกำแพง"
air,B2.7-7,lte,180.0,,cm,"ไม่เกิน 1,800 มิลลิเมตร","ติดตั้งสูงจากพื้นไม่น้อยกว่า 900 มิลลิเมตร วัดจากตัวอักษรในป้าย แต่ไม่เกิน 1,800 มิลลิเมตร กรณียึดติดกำแพง"
air,B2.7-8,gte,200.0,,cm,"อย่างน้อย 2,000 มิลลิเมตร","กรณีเป็นป้ายแขวนและแบบยึดติดกับเสา ควรจะสูงอย่างน้อย 2,000 มิลลิเมตร จากระดับพื้น"
air,B2.9-2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,พื้นที่พักคอยเดี่ยวต้องมีด้านกว้างไม่น้อยกว่า 900 มิลลิเมตร และพื้นที่พักคอยแบบคู่ต้องมีด้านกว้าง ที่ละไม่น้อยกว่า 850 ม
air,B2.9-2,gte,85.0,,cm,ไม่น้อยกว่า 850 มิลลิเมตร,พื้นที่พักคอยเดี่ยวต้องมีด้านกว้างไม่น้อยกว่า 900 มิลลิเมตร และพื้นที่พักคอยแบบคู่ต้องมีด้านกว้าง ที่ละไม่น้อยกว่า 850 ม
air,B2.9-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,"เป็นพื้นที่ราบขนาดความกว้างไม่น้อยกว่า 900 มิลลิเมตร และความยาวไม่น้อยกว่า 1,400 มิลลิเมตร ต่อ 1 ที่ อยู่ในตำแหน่งที่เข้"
air,B2.9-6,gte,140.0,,cm,"ไม่น้อยกว่า 1,400 มิลลิเมตร","เป็นพื้นที่ราบขนาดความกว้างไม่น้อยกว่า 900 มิลลิเมตร และความยาวไม่น้อยกว่า 1,400 มิลลิเมตร ต่อ 1 ที่ อยู่ในตำแหน่งที่เข้"
air,B2.10-1.2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,ความกว้างสุทธิไม่น้อยกว่า 900 มิลลิเมตร
air,B2.10-1.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
air,B2.10-1.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
air,B2.10-1.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
air,B2.10-2.2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,ความกว้างสุทธิไม่น้อยกว่า 900 มิลลิเมตร
air,B2.10-2.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
air,B2.10-2.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
air,B2.10-2.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
air,B2.10-3.2,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","ความกว้างสุทธิไม่น้อยกว่า 1,500 มิลลิเมตร"
